Name	red	green	blue	rx	gx	bx
cyan2	0	238	238	0	EE	EE
cyan3	0	205	205	0	CD	CD
cyan4	0	139	139	0	8B	8B
darkblue	0	0	139	0	0	8B
darkcyan	0	139	139	0	8B	8B
darkgoldenrod	184	134	11	B8	86	B
darkgoldenrod1	255	185	15	FF	B9	F
darkgoldenrod2	238	173	14	EE	AD	E
darkgoldenrod3	205	149	12	CD	95	C
darkgoldenrod4	139	101	8	8B	65	8
darkgray	169	169	169	A9	A9	A9
darkgreen	0	100	0	0	64	0
darkgrey	169	169	169	A9	A9	A9
darkkhaki	189	183	107	BD	B7	6B
darkmagenta	139	0	139	8B	0	8B
darkolivegreen	85	107	47	55	6B	2F
darkolivegreen1	202	255	112	CA	FF	70
darkolivegreen2	188	238	104	BC	EE	68
darkolivegreen3	162	205	90	A2	CD	5A
darkolivegreen4	110	139	61	6E	8B	3D
darkorange	255	140	0	FF	8C	0
darkorange1	255	127	0	FF	7F	0
darkorange2	238	118	0	EE	76	0
darkorange3	205	102	0	CD	66	0
darkorange4	139	69	0	8B	45	0
darkorchid	153	50	204	99	32	CC
darkorchid1	191	62	255	BF	3E	FF
darkorchid2	178	58	238	B2	3A	EE
darkorchid3	154	50	205	9A	32	CD
darkorchid4	104	34	139	68	22	8B
darkred	139	0	0	8B	0	0
darksalmon	233	150	122	E9	96	7A
darkseagreen	143	188	143	8F	BC	8F
darkseagreen1	193	255	193	C1	FF	C1
darkseagreen2	180	238	180	B4	EE	B4
darkseagreen3	155	205	155	9B	CD	9B
darkseagreen4	105	139	105	69	8B	69
darkslateblue	72	61	139	48	3D	8B
darkslategray	47	79	79	2F	4F	4F
darkslategray1	151	255	255	97	FF	FF
darkslategray2	141	238	238	8D	EE	EE
darkslategray3	121	205	205	79	CD	CD
darkslategray4	82	139	139	52	8B	8B
darkslategrey	47	79	79	2F	4F	4F
darkturquoise	0	206	209	0	CE	D1
darkviolet	148	0	211	94	0	D3
deeppink	255	20	147	FF	14	93
deeppink1	255	20	147	FF	14	93
deeppink2	238	18	137	EE	12	89
deeppink3	205	16	118	CD	10	76
deeppink4	139	10	80	8B	A	50
deepskyblue	0	191	255	0	BF	FF
deepskyblue1	0	191	255	0	BF	FF
deepskyblue2	0	178	238	0	B2	EE
deepskyblue3	0	154	205	0	9A	CD
deepskyblue4	0	104	139	0	68	8B
dimgray	105	105	105	69	69	69
dimgrey	105	105	105	69	69	69
dodgerblue	30	144	255	1E	90	FF
dodgerblue1	30	144	255	1E	90	FF
dodgerblue2	28	134	238	1C	86	EE
dodgerblue3	24	116	205	18	74	CD
dodgerblue4	16	78	139	10	4E	8B
firebrick	178	34	34	B2	22	22
firebrick1	255	48	48	FF	30	30
firebrick2	238	44	44	EE	2C	2C
firebrick3	205	38	38	CD	26	26
firebrick4	139	26	26	8B	1A	1A
floralwhite	255	250	240	FF	FA	F0
forestgreen	34	139	34	22	8B	22
gainsboro	220	220	220	DC	DC	DC
ghostwhite	248	248	255	F8	F8	FF
gold	255	215	0	FF	D7	0
gold1	255	215	0	FF	D7	0
gold2	238	201	0	EE	C9	0
gold3	205	173	0	CD	AD	0
gold4	139	117	0	8B	75	0
goldenrod	218	165	32	DA	A5	20
goldenrod1	255	193	37	FF	C1	25
goldenrod2	238	180	34	EE	B4	22
goldenrod3	205	155	29	CD	9B	1D
goldenrod4	139	105	20	8B	69	14
gray	190	190	190	BE	BE	BE
gray0	0	0	0	0	0	0
gray1	3	3	3	3	3	3
gray10	26	26	26	1A	1A	1A
gray100	255	255	255	FF	FF	FF
gray11	28	28	28	1C	1C	1C
gray12	31	31	31	1F	1F	1F
gray13	33	33	33	21	21	21
gray14	36	36	36	24	24	24
gray15	38	38	38	26	26	26
gray16	41	41	41	29	29	29
gray17	43	43	43	2B	2B	2B
gray18	46	46	46	2E	2E	2E
gray19	48	48	48	30	30	30
gray2	5	5	5	5	5	5
gray20	51	51	51	33	33	33
gray21	54	54	54	36	36	36
gray22	56	56	56	38	38	38
gray23	59	59	59	3B	3B	3B
gray24	61	61	61	3D	3D	3D
gray25	64	64	64	40	40	40
gray26	66	66	66	42	42	42
gray27	69	69	69	45	45	45
gray28	71	71	71	47	47	47
gray29	74	74	74	4A	4A	4A
gray3	8	8	8	8	8	8
gray30	77	77	77	4D	4D	4D
gray31	79	79	79	4F	4F	4F
gray32	82	82	82	52	52	52
gray33	84	84	84	54	54	54
gray34	87	87	87	57	57	57
gray35	89	89	89	59	59	59
gray36	92	92	92	5C	5C	5C
gray37	94	94	94	5E	5E	5E
gray38	97	97	97	61	61	61
gray39	99	99	99	63	63	63
gray4	10	10	10	A	A	A
gray40	102	102	102	66	66	66
gray41	105	105	105	69	69	69
gray42	107	107	107	6B	6B	6B
gray43	110	110	110	6E	6E	6E
gray44	112	112	112	70	70	70
gray45	115	115	115	73	73	73
gray46	117	117	117	75	75	75
gray47	120	120	120	78	78	78
gray48	122	122	122	7A	7A	7A
gray49	125	125	125	7D	7D	7D
gray5	13	13	13	D	D	D
gray50	127	127	127	7F	7F	7F
gray51	130	130	130	82	82	82
gray52	133	133	133	85	85	85
gray53	135	135	135	87	87	87
gray54	138	138	138	8A	8A	8A
gray55	140	140	140	8C	8C	8C
gray56	143	143	143	8F	8F	8F
gray57	145	145	145	91	91	91
gray58	148	148	148	94	94	94
gray59	150	150	150	96	96	96
gray6	15	15	15	F	F	F
gray60	153	153	153	99	99	99
gray61	156	156	156	9C	9C	9C
gray62	158	158	158	9E	9E	9E
gray63	161	161	161	A1	A1	A1
gray64	163	163	163	A3	A3	A3
gray65	166	166	166	A6	A6	A6
gray66	168	168	168	A8	A8	A8
gray67	171	171	171	AB	AB	AB
gray68	173	173	173	AD	AD	AD
gray69	176	176	176	B0	B0	B0
gray7	18	18	18	12	12	12
gray70	179	179	179	B3	B3	B3
gray71	181	181	181	B5	B5	B5
gray72	184	184	184	B8	B8	B8
gray73	186	186	186	BA	BA	BA
gray74	189	189	189	BD	BD	BD
gray75	191	191	191	BF	BF	BF
gray76	194	194	194	C2	C2	C2
gray77	196	196	196	C4	C4	C4
gray78	199	199	199	C7	C7	C7
gray79	201	201	201	C9	C9	C9
gray8	20	20	20	14	14	14
gray80	204	204	204	CC	CC	CC
gray81	207	207	207	CF	CF	CF
gray82	209	209	209	D1	D1	D1
gray83	212	212	212	D4	D4	D4
gray84	214	214	214	D6	D6	D6
gray85	217	217	217	D9	D9	D9
gray86	219	219	219	DB	DB	DB
gray87	222	222	222	DE	DE	DE
gray88	224	224	224	E0	E0	E0
gray89	227	227	227	E3	E3	E3
gray9	23	23	23	17	17	17
gray90	229	229	229	E5	E5	E5
gray91	232	232	232	E8	E8	E8
gray92	235	235	235	EB	EB	EB
gray93	237	237	237	ED	ED	ED
gray94	240	240	240	F0	F0	F0
gray95	242	242	242	F2	F2	F2
gray96	245	245	245	F5	F5	F5
gray97	247	247	247	F7	F7	F7
gray98	250	250	250	FA	FA	FA
gray99	252	252	252	FC	FC	FC
green	0	255	0	0	FF	0
green1	0	255	0	0	FF	0
green2	0	238	0	0	EE	0
green3	0	205	0	0	CD	0
green4	0	139	0	0	8B	0
greenyellow	173	255	47	AD	FF	2F
grey	190	190	190	BE	BE	BE
grey0	0	0	0	0	0	0
grey1	3	3	3	3	3	3
grey10	26	26	26	1A	1A	1A
grey100	255	255	255	FF	FF	FF
grey11	28	28	28	1C	1C	1C
grey12	31	31	31	1F	1F	1F
grey13	33	33	33	21	21	21
grey14	36	36	36	24	24	24
grey15	38	38	38	26	26	26
grey16	41	41	41	29	29	29
grey17	43	43	43	2B	2B	2B
grey18	46	46	46	2E	2E	2E
grey19	48	48	48	30	30	30
grey2	5	5	5	5	5	5
grey20	51	51	51	33	33	33
grey21	54	54	54	36	36	36
grey22	56	56	56	38	38	38
grey23	59	59	59	3B	3B	3B
grey24	61	61	61	3D	3D	3D
grey25	64	64	64	40	40	40
grey26	66	66	66	42	42	42
grey27	69	69	69	45	45	45
grey28	71	71	71	47	47	47
grey29	74	74	74	4A	4A	4A
grey3	8	8	8	8	8	8
grey30	77	77	77	4D	4D	4D
grey31	79	79	79	4F	4F	4F
grey32	82	82	82	52	52	52
grey33	84	84	84	54	54	54
grey34	87	87	87	57	57	57
grey35	89	89	89	59	59	59
grey36	92	92	92	5C	5C	5C
grey37	94	94	94	5E	5E	5E
grey38	97	97	97	61	61	61
grey39	99	99	99	63	63	63
grey4	10	10	10	A	A	A
grey40	102	102	102	66	66	66
grey41	105	105	105	69	69	69
grey42	107	107	107	6B	6B	6B
grey43	110	110	110	6E	6E	6E
grey44	112	112	112	70	70	70
grey45	115	115	115	73	73	73
grey46	117	117	117	75	75	75
grey47	120	120	120	78	78	78
grey48	122	122	122	7A	7A	7A
grey49	125	125	125	7D	7D	7D
grey5	13	13	13	D	D	D
grey50	127	127	127	7F	7F	7F
grey51	130	130	130	82	82	82
grey52	133	133	133	85	85	85
grey53	135	135	135	87	87	87
grey54	138	138	138	8A	8A	8A
grey55	140	140	140	8C	8C	8C
grey56	143	143	143	8F	8F	8F
grey57	145	145	145	91	91	91
grey58	148	148	148	94	94	94
grey59	150	150	150	96	96	96
grey6	15	15	15	F	F	F
grey60	153	153	153	99	99	99
grey61	156	156	156	9C	9C	9C
grey62	158	158	158	9E	9E	9E
grey63	161	161	161	A1	A1	A1
grey64	163	163	163	A3	A3	A3
grey65	166	166	166	A6	A6	A6
grey66	168	168	168	A8	A8	A8
grey67	171	171	171	AB	AB	AB
grey68	173	173	173	AD	AD	AD
grey69	176	176	176	B0	B0	B0
grey7	18	18	18	12	12	12
grey70	179	179	179	B3	B3	B3
grey71	181	181	181	B5	B5	B5
grey72	184	184	184	B8	B8	B8
grey73	186	186	186	BA	BA	BA
grey74	189	189	189	BD	BD	BD
grey75	191	191	191	BF	BF	BF
grey76	194	194	194	C2	C2	C2
grey77	196	196	196	C4	C4	C4
grey78	199	199	199	C7	C7	C7
grey79	201	201	201	C9	C9	C9
grey8	20	20	20	14	14	14
grey80	204	204	204	CC	CC	CC
grey81	207	207	207	CF	CF	CF
grey82	209	209	209	D1	D1	D1
grey83	212	212	212	D4	D4	D4
grey84	214	214	214	D6	D6	D6
grey85	217	217	217	D9	D9	D9
grey86	219	219	219	DB	DB	DB
grey87	222	222	222	DE	DE	DE
grey88	224	224	224	E0	E0	E0
grey89	227	227	227	E3	E3	E3
grey9	23	23	23	17	17	17
grey90	229	229	229	E5	E5	E5
grey91	232	232	232	E8	E8	E8
grey92	235	235	235	EB	EB	EB
grey93	237	237	237	ED	ED	ED
grey94	240	240	240	F0	F0	F0
grey95	242	242	242	F2	F2	F2
grey96	245	245	245	F5	F5	F5
grey97	247	247	247	F7	F7	F7
grey98	250	250	250	FA	FA	FA
grey99	252	252	252	FC	FC	FC
honeydew	240	255	240	F0	FF	F0
honeydew1	240	255	240	F0	FF	F0
honeydew2	224	238	224	E0	EE	E0
honeydew3	193	205	193	C1	CD	C1
honeydew4	131	139	131	83	8B	83
hotpink	255	105	180	FF	69	B4
hotpink1	255	110	180	FF	6E	B4
hotpink2	238	106	167	EE	6A	A7
hotpink3	205	96	144	CD	60	90
hotpink4	139	58	98	8B	3A	62
indianred	205	92	92	CD	5C	5C
indianred1	255	106	106	FF	6A	6A
indianred2	238	99	99	EE	63	63
indianred3	205	85	85	CD	55	55
indianred4	139	58	58	8B	3A	3A
ivory	255	255	240	FF	FF	F0
ivory1	255	255	240	FF	FF	F0
ivory2	238	238	224	EE	EE	E0
ivory3	205	205	193	CD	CD	C1
ivory4	139	139	131	8B	8B	83
khaki	240	230	140	F0	E6	8C
khaki1	255	246	143	FF	F6	8F
khaki2	238	230	133	EE	E6	85
khaki3	205	198	115	CD	C6	73
khaki4	139	134	78	8B	86	4E
lavender	230	230	250	E6	E6	FA
lavenderblush	255	240	245	FF	F0	F5
lavenderblush1	255	240	245	FF	F0	F5
lavenderblush2	238	224	229	EE	E0	E5
lavenderblush3	205	193	197	CD	C1	C5
lavenderblush4	139	131	134	8B	83	86
lawngreen	124	252	0	7C	FC	0
lemonchiffon	255	250	205	FF	FA	CD
lemonchiffon1	255	250	205	FF	FA	CD
lemonchiffon2	238	233	191	EE	E9	BF
lemonchiffon3	205	201	165	CD	C9	A5
lemonchiffon4	139	137	112	8B	89	70
lightblue	173	216	230	AD	D8	E6
lightblue1	191	239	255	BF	EF	FF
lightblue2	178	223	238	B2	DF	EE
lightblue3	154	192	205	9A	C0	CD
lightblue4	104	131	139	68	83	8B
lightcoral	240	128	128	F0	80	80
lightcyan	224	255	255	E0	FF	FF
lightcyan1	224	255	255	E0	FF	FF
lightcyan2	209	238	238	D1	EE	EE
lightcyan3	180	205	205	B4	CD	CD
lightcyan4	122	139	139	7A	8B	8B
lightgoldenrod	238	221	130	EE	DD	82
lightgoldenrod1	255	236	139	FF	EC	8B
lightgoldenrod2	238	220	130	EE	DC	82
lightgoldenrod3	205	190	112	CD	BE	70
lightgoldenrod4	139	129	76	8B	81	4C
lightgoldenrodyellow	250	250	210	FA	FA	D2
lightgray	211	211	211	D3	D3	D3
lightgreen	144	238	144	90	EE	90
lightgrey	211	211	211	D3	D3	D3
lightpink	255	182	193	FF	B6	C1
lightpink1	255	174	185	FF	AE	B9
lightpink2	238	162	173	EE	A2	AD
lightpink3	205	140	149	CD	8C	95
lightpink4	139	95	101	8B	5F	65
lightsalmon	255	160	122	FF	A0	7A
lightsalmon1	255	160	122	FF	A0	7A
lightsalmon2	238	149	114	EE	95	72
lightsalmon3	205	129	98	CD	81	62
lightsalmon4	139	87	66	8B	57	42
lightseagreen	32	178	170	20	B2	AA
lightskyblue	135	206	250	87	CE	FA
lightskyblue1	176	226	255	B0	E2	FF
lightskyblue2	164	211	238	A4	D3	EE
lightskyblue3	141	182	205	8D	B6	CD
lightskyblue4	96	123	139	60	7B	8B
lightslateblue	132	112	255	84	70	FF
lightslategray	119	136	153	77	88	99
lightslategrey	119	136	153	77	88	99
lightsteelblue	176	196	222	B0	C4	DE
lightsteelblue1	202	225	255	CA	E1	FF
lightsteelblue2	188	210	238	BC	D2	EE
lightsteelblue3	162	181	205	A2	B5	CD
lightsteelblue4	110	123	139	6E	7B	8B
lightyellow	255	255	224	FF	FF	E0
lightyellow1	255	255	224	FF	FF	E0
lightyellow2	238	238	209	EE	EE	D1
lightyellow3	205	205	180	CD	CD	B4
lightyellow4	139	139	122	8B	8B	7A
limegreen	50	205	50	32	CD	32
linen	250	240	230	FA	F0	E6
magenta	255	0	255	FF	0	FF
magenta1	255	0	255	FF	0	FF
magenta2	238	0	238	EE	0	EE
magenta3	205	0	205	CD	0	CD
magenta4	139	0	139	8B	0	8B
maroon	176	48	96	B0	30	60
maroon1	255	52	179	FF	34	B3
maroon2	238	48	167	EE	30	A7
maroon3	205	41	144	CD	29	90
maroon4	139	28	98	8B	1C	62
mediumaquamarine	102	205	170	66	CD	AA
mediumblue	0	0	205	0	0	CD
mediumorchid	186	85	211	BA	55	D3
mediumorchid1	224	102	255	E0	66	FF
mediumorchid2	209	95	238	D1	5F	EE
mediumorchid3	180	82	205	B4	52	CD
mediumorchid4	122	55	139	7A	37	8B
mediumpurple	147	112	219	93	70	DB
mediumpurple1	171	130	255	AB	82	FF
mediumpurple2	159	121	238	9F	79	EE
mediumpurple3	137	104	205	89	68	CD
mediumpurple4	93	71	139	5D	47	8B
mediumseagreen	60	179	113	3C	B3	71
mediumslateblue	123	104	238	7B	68	EE
mediumspringgreen	0	250	154	0	FA	9A
mediumturquoise	72	209	204	48	D1	CC
mediumvioletred	199	21	133	C7	15	85
midnightblue	25	25	112	19	19	70
mintcream	245	255	250	F5	FF	FA
mistyrose	255	228	225	FF	E4	E1
mistyrose1	255	228	225	FF	E4	E1
mistyrose2	238	213	210	EE	D5	D2
mistyrose3	205	183	181	CD	B7	B5
mistyrose4	139	125	123	8B	7D	7B
moccasin	255	228	181	FF	E4	B5
navajowhite	255	222	173	FF	DE	AD
navajowhite1	255	222	173	FF	DE	AD
navajowhite2	238	207	161	EE	CF	A1
navajowhite3	205	179	139	CD	B3	8B
navajowhite4	139	121	94	8B	79	5E
navy	0	0	128	0	0	80
navyblue	0	0	128	0	0	80
oldlace	253	245	230	FD	F5	E6
olivedrab	107	142	35	6B	8E	23
olivedrab1	192	255	62	C0	FF	3E
olivedrab2	179	238	58	B3	EE	3A
olivedrab3	154	205	50	9A	CD	32
olivedrab4	105	139	34	69	8B	22
orange	255	165	0	FF	A5	0
orange1	255	165	0	FF	A5	0
orange2	238	154	0	EE	9A	0
orange3	205	133	0	CD	85	0
orange4	139	90	0	8B	5A	0
orangered	255	69	0	FF	45	0
orangered1	255	69	0	FF	45	0
orangered2	238	64	0	EE	40	0
orangered3	205	55	0	CD	37	0
orangered4	139	37	0	8B	25	0
orchid	218	112	214	DA	70	D6
orchid1	255	131	250	FF	83	FA
orchid2	238	122	233	EE	7A	E9
orchid3	205	105	201	CD	69	C9
orchid4	139	71	137	8B	47	89
palegoldenrod	238	232	170	EE	E8	AA
palegreen	152	251	152	98	FB	98
palegreen1	154	255	154	9A	FF	9A
palegreen2	144	238	144	90	EE	90
palegreen3	124	205	124	7C	CD	7C
palegreen4	84	139	84	54	8B	54
paleturquoise	175	238	238	AF	EE	EE
paleturquoise1	187	255	255	BB	FF	FF
paleturquoise2	174	238	238	AE	EE	EE
paleturquoise3	150	205	205	96	CD	CD
paleturquoise4	102	139	139	66	8B	8B
palevioletred	219	112	147	DB	70	93
palevioletred1	255	130	171	FF	82	AB
palevioletred2	238	121	159	EE	79	9F
palevioletred3	205	104	137	CD	68	89
palevioletred4	139	71	93	8B	47	5D
papayawhip	255	239	213	FF	EF	D5
peachpuff	255	218	185	FF	DA	B9
peachpuff1	255	218	185	FF	DA	B9
peachpuff2	238	203	173	EE	CB	AD
peachpuff3	205	175	149	CD	AF	95
peachpuff4	139	119	101	8B	77	65
peru	205	133	63	CD	85	3F
pink	255	192	203	FF	C0	CB
pink1	255	181	197	FF	B5	C5
pink2	238	169	184	EE	A9	B8
pink3	205	145	158	CD	91	9E
pink4	139	99	108	8B	63	6C
plum	221	160	221	DD	A0	DD
plum1	255	187	255	FF	BB	FF
plum2	238	174	238	EE	AE	EE
plum3	205	150	205	CD	96	CD
plum4	139	102	139	8B	66	8B
powderblue	176	224	230	B0	E0	E6
purple	160	32	240	A0	20	F0
purple1	155	48	255	9B	30	FF
purple2	145	44	238	91	2C	EE
purple3	125	38	205	7D	26	CD
purple4	85	26	139	55	1A	8B
red	255	0	0	FF	0	0
red1	255	0	0	FF	0	0
red2	238	0	0	EE	0	0
red3	205	0	0	CD	0	0
red4	139	0	0	8B	0	0
rosybrown	188	143	143	BC	8F	8F
rosybrown1	255	193	193	FF	C1	C1
rosybrown2	238	180	180	EE	B4	B4
rosybrown3	205	155	155	CD	9B	9B
rosybrown4	139	105	105	8B	69	69
royalblue	65	105	225	41	69	E1
royalblue1	72	118	255	48	76	FF
royalblue2	67	110	238	43	6E	EE
royalblue3	58	95	205	3A	5F	CD
royalblue4	39	64	139	27	40	8B
saddlebrown	139	69	19	8B	45	13
salmon	250	128	114	FA	80	72
salmon1	255	140	105	FF	8C	69
salmon2	238	130	98	EE	82	62
salmon3	205	112	84	CD	70	54
salmon4	139	76	57	8B	4C	39
sandybrown	244	164	96	F4	A4	60
seagreen	46	139	87	2E	8B	57
seagreen1	84	255	159	54	FF	9F
seagreen2	78	238	148	4E	EE	94
seagreen3	67	205	128	43	CD	80
seagreen4	46	139	87	2E	8B	57
seashell	255	245	238	FF	F5	EE
seashell1	255	245	238	FF	F5	EE
seashell2	238	229	222	EE	E5	DE
seashell3	205	197	191	CD	C5	BF
seashell4	139	134	130	8B	86	82
sienna	160	82	45	A0	52	2D
sienna1	255	130	71	FF	82	47
sienna2	238	121	66	EE	79	42
sienna3	205	104	57	CD	68	39
sienna4	139	71	38	8B	47	26
skyblue	135	206	235	87	CE	EB
skyblue1	135	206	255	87	CE	FF
skyblue2	126	192	238	7E	C0	EE
skyblue3	108	166	205	6C	A6	CD
skyblue4	74	112	139	4A	70	8B
slateblue	106	90	205	6A	5A	CD
slateblue1	131	111	255	83	6F	FF
slateblue2	122	103	238	7A	67	EE
slateblue3	105	89	205	69	59	CD
slateblue4	71	60	139	47	3C	8B
slategray	112	128	144	70	80	90
slategray1	198	226	255	C6	E2	FF
slategray2	185	211	238	B9	D3	EE
slategray3	159	182	205	9F	B6	CD
slategray4	108	123	139	6C	7B	8B
slategrey	112	128	144	70	80	90
snow	255	250	250	FF	FA	FA
snow1	255	250	250	FF	FA	FA
snow2	238	233	233	EE	E9	E9
snow3	205	201	201	CD	C9	C9
snow4	139	137	137	8B	89	89
springgreen	0	255	127	0	FF	7F
springgreen1	0	255	127	0	FF	7F
springgreen2	0	238	118	0	EE	76
springgreen3	0	205	102	0	CD	66
springgreen4	0	139	69	0	8B	45
steelblue	70	130	180	46	82	B4
steelblue1	99	184	255	63	B8	FF
steelblue2	92	172	238	5C	AC	EE
steelblue3	79	148	205	4F	94	CD
steelblue4	54	100	139	36	64	8B
tan	210	180	140	D2	B4	8C
tan1	255	165	79	FF	A5	4F
tan2	238	154	73	EE	9A	49
tan3	205	133	63	CD	85	3F
tan4	139	90	43	8B	5A	2B
thistle	216	191	216	D8	BF	D8
thistle1	255	225	255	FF	E1	FF
thistle2	238	210	238	EE	D2	EE
thistle3	205	181	205	CD	B5	CD
thistle4	139	123	139	8B	7B	8B
tomato	255	99	71	FF	63	47
tomato1	255	99	71	FF	63	47
tomato2	238	92	66	EE	5C	42
tomato3	205	79	57	CD	4F	39
tomato4	139	54	38	8B	36	26
turquoise	64	224	208	40	E0	D0
turquoise1	0	245	255	0	F5	FF
turquoise2	0	229	238	0	E5	EE
turquoise3	0	197	205	0	C5	CD
turquoise4	0	134	139	0	86	8B
violet	238	130	238	EE	82	EE
violetred	208	32	144	D0	20	90
violetred1	255	62	150	FF	3E	96
violetred2	238	58	140	EE	3A	8C
violetred3	205	50	120	CD	32	78
violetred4	139	34	82	8B	22	52
wheat	245	222	179	F5	DE	B3
wheat1	255	231	186	FF	E7	BA
wheat2	238	216	174	EE	D8	AE
wheat3	205	186	150	CD	BA	96
wheat4	139	126	102	8B	7E	66
white	255	255	255	FF	FF	FF
whitesmoke	245	245	245	F5	F5	F5
yellow	255	255	0	FF	FF	0
yellow1	255	255	0	FF	FF	0
yellow2	238	238	0	EE	EE	0
yellow3	205	205	0	CD	CD	0
yellow4	139	139	0	8B	8B	0
yellowgreen	154	205	50	9A	CD	32
